0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.018966089,0.246226267,0.309159479,-1.054794541,0.060987087,-0.006275531,0.076572957,0.335649329,-0.115665028,0.0059028,-0.000317285,0.016504028,0.047354045,-0.037696582,0.000272484,0.031372173,0.094366916,0.310356936,-0.165857128,0.009889328,-0.013169453,0.046820879,0.127790445,-0.12309354,0.002365629,0.005681237,0.047125496,0.127635796,-0.098789932,0.002253089,-0.978405935,-0.203026928,0.149494768,-0.67399878,0.35403236,-0.565489639,0
-0.022495132,0.076674742,0.202183125,-0.142322659,0.006385047,0.002253353,0.025675164,0.051110821,-0.056380824,0.000664292,-0.006234278,0.018894628,0.047354045,-0.062772507,0.000395873,-0.005493819,0.139445871,0.310356936,-0.535493159,0.019475333,0.048711781,0.128793961,0.525400374,-0.12309354,0.018960722,-0.028356201,0.102748458,0.127635796,-0.429383006,0.01136132,-0.697883796,-0.008393964,-0.032369303,-0.771471647,0.29725657,-0.428104517,0
-0.018782135,0.040542317,0.049287104,-0.104761018,0.001996448,0.008141632,0.017571357,0.052499104,-0.027886822,0.000375039,0.005610151,0.031146415,0.074803639,-0.070140388,0.001001573,-0.01728097,0.13845781,0.256907976,-0.535493159,0.019469197,0.068746028,0.1423687,0.525400374,-0.146005547,0.024994863,-0.041259026,0.096506218,0.10348702,-0.429383006,0.011015757,-0.066200772,-0.095780984,0.235561314,-0.824123519,0.063277209,-0.167045312,0
0.006478765,0.012991486,0.049287104,-0.020088122,0.000210753,0.005867057,0.010764841,0.052499104,-0.010029928,0.000150304,0.009799459,0.0269588,0.074803639,-0.070140388,0.000822806,0.015044907,0.086322706,0.150887946,-0.422132464,0.007677959,-0.001278111,0.104503468,0.452215721,-0.157652302,0.010922608,0.011127151,0.047640678,0.108472333,-0.116737534,0.002393448,0.415080771,-0.360249543,0.078253556,-0.811129225,-0.296459412,-0.011015502,0
-0.000590227,0.008892005,0.024812694,-0.020088122,7.94E-05,-0.00297511,0.008171077,0.01538441,-0.026227271,7.56E-05,-0.007550343,0.01112133,0.023523016,-0.034207416,0.000180692,0.007006492,0.040804249,0.092121782,-0.135048574,0.001714078,-0.012129242,0.05710685,0.139806766,-0.157652302,0.003408311,0.023672685,0.032277001,0.108472333,-0.057654459,0.001602201,0.374770411,0.144277714,0.068869837,-0.593172176,0.110190091,-0.310600984,0
-0.000739355,0.006785209,0.015692957,-0.017663641,4.66E-05,-0.003015931,0.007532759,0.010927689,-0.026227271,6.58E-05,-0.004658712,0.011226851,0.014569237,-0.034207416,0.000147746,0.006882267,0.027200727,0.072248409,-0.05402695,0.000787245,-0.000898362,0.02197608,0.061028871,-0.065339402,0.000483755,0.010232293,0.02097323,0.059980498,-0.049337409,0.000544576,0.488068577,0.356629537,-0.026878248,-0.483000135,0.223761824,0.119853572,0
0.000347487,0.007301318,0.01601289,-0.021464524,5.34E-05,0.001012331,0.004754672,0.01337382,-0.011387122,2.36E-05,0.001851166,0.008541413,0.02124256,-0.021672652,7.64E-05,0.005999041,0.031210609,0.094226912,-0.084716627,0.001010091,0.000374946,0.024676622,0.096169973,-0.065339402,0.000609076,0.007961826,0.025327486,0.109476762,-0.054046262,0.000704872,0.387401554,-0.340067796,-0.081732004,-0.215483589,0.203796455,0.458352648,0
0.000412977,0.010484161,0.039039304,-0.037735977,0.000110088,-0.000568826,0.007719409,0.016440871,-0.023076765,5.99E-05,-0.000531619,0.013217317,0.055023744,-0.043593308,0.00017498,0.006192292,0.053078424,0.184314335,-0.223684778,0.002855664,0.014280533,0.075520102,0.5036271,-0.09522069,0.005907219,-0.001674768,0.039302676,0.109476762,-0.105848174,0.001547505,0.292860461,-0.1135242,-0.306202312,-0.483643321,0.246334366,-0.122691905,0
-0.00034053,0.010695462,0.039039304,-0.037735977,0.000114509,0.000942887,0.010425732,0.023453463,-0.04180385,0.000109585,0.002273628,0.021947898,0.055023744,-0.10042883,0.00048688,0.001221708,0.109711792,0.35384536,-0.374814921,0.01203817,0.023162685,0.111633489,0.5036271,-0.175236508,0.012998546,0.00132689,0.043660569,0.09973942,-0.148747841,0.001908006,0.091626141,-0.005275556,-0.420602433,-0.74152191,0.131312977,-0.160941637,0
0.019124423,0.245338866,0.301950337,-1.03796687,0.060556903,-0.0060448,0.074035641,0.324590134,-0.094559064,0.005517816,0.001164976,0.01873359,0.031565536,-0.086481502,0.000352305,0.015385206,0.029050131,0.100566664,-0.06773961,0.001080615,-0.000234397,0.030173111,0.151713547,-0.055214412,0.000910472,0.014844488,0.025154128,0.080956864,-0.086492616,0.000853089,-0.99739668,-0.929840378,0.919582647,-0.669018384,0.504443789,-0.568829501,0
-0.022157823,0.073453731,0.197154402,-0.109943127,0.00588642,0.006044441,0.022753023,0.039363966,-0.062047138,0.000554235,-0.001449593,0.008936323,0.027471393,-0.018306948,8.20E-05,0.016048346,0.033034499,0.100566664,-0.06773961,0.001348828,-0.000399599,0.033109667,0.151713547,-0.071738513,0.00109641,0.008113792,0.028810938,0.080956864,-0.086492616,0.000895904,-0.965090026,-0.560331459,0.487318119,-0.520041706,0.456108605,-0.575497833,0
-0.01906115,0.036291319,0.025833807,-0.091745668,0.001680387,0.005882824,0.011634179,0.039363966,-0.011994204,0.000169962,-0.001009191,0.007505954,0.019709401,-0.020191005,5.74E-05,0.00656302,0.029940744,0.081368777,-0.092418181,0.000939521,-0.003676506,0.021983024,0.041540486,-0.071738513,0.00049677,0.003375972,0.021460616,0.059491785,-0.068726596,0.000471955,-0.846026544,-0.35377073,0.170442795,-0.243163505,0.321268697,-0.437980582,0
0.006346475,0.012147629,0.049083414,-0.055744426,0.000187843,-0.001396887,0.007607095,0.037627725,-0.024627171,5.98E-05,-0.001166692,0.012353582,0.031309922,-0.081897526,0.000153972,0.002268392,0.063526051,0.233995696,-0.350749983,0.004040705,0.009833265,0.072850114,0.437111556,-0.176983755,0.005403832,-0.001697787,0.037299694,0.103085953,-0.151926052,0.00139415,0.266600783,-0.161562653,-0.466711514,-0.803274457,0.582814593,-0.476148038,0
-0.000445203,0.017353211,0.049083414,-0.055744426,0.000301332,-0.002790208,0.014323849,0.037627725,-0.052037835,0.000212958,-0.000836389,0.017240435,0.047555352,-0.081897526,0.000297932,-0.006341649,0.102734853,0.292955411,-0.350749983,0.010594666,0.042805921,0.105928214,0.437111556,-0.176983755,0.013053133,-0.029720972,0.069924257,0.103085953,-0.254924609,0.005772738,0.43378577,0.10895414,-0.222195396,-0.824376358,0.334335205,-0.360486976,0
