,0
0,1.0971426931135606
1,1.0274215014870025
2,1.011851859928481
3,1.0940328175743688
4,1.0852244946596759
5,1.0397102174056163
6,1.348366932823779
7,2.1225266557083162
8,-2.6747152718934557
9,-2.025260919978911
